A1,,B1,,C1,,D1,,E1,,F1,,G1,,H1,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2,0.00302408,0.2,0.00159839,0.2,0.00482793,0.2,0.0020054,0.2,0.00079456,0.2,-0.0001861,0.2,0.00364844,0.2,-0.00212121
0.41,0.00912184,0.41,0.00090049,0.41,0.01002094,0.41,0.00778636,0.41,0.00264883,0.41,0.00516622,0.41,0.00700696,0.41,0.00322831
0.59,0.0037998,0.59,0.00090498,0.59,0.01113999,0.59,0.00485744,0.59,0.00486054,0.59,0.00474878,0.59,0.00493781,0.59,0.00096096
0.81,0.0104134,0.81,0.00231547,0.81,0.01179713,0.81,0.0105086,0.81,0.00508588,0.81,0.00608219,0.81,0.01026336,0.81,0.00167301
1.01,0.00796837,1.01,0.00603209,1.01,0.01370301,1.01,0.00895597,1.01,0.00676457,1.01,0.0071703,1.01,0.00685641,1.01,0.00467939
1.19,0.00887922,1.19,0.00579977,1.19,0.01303569,1.19,0.01268483,1.19,0.00738146,1.19,0.00970278,1.19,0.00674239,1.19,0.00413052
1.4,0.01131958,1.4,0.01207685,1.4,0.01188984,1.4,0.01064776,1.4,0.01012506,1.4,0.00917901,1.4,0.01249855,1.4,0.0045385
1.61,0.01103484,1.61,0.00929179,1.61,0.01753218,1.61,0.0138871,1.61,0.00659973,1.61,0.0138432,1.61,0.01268547,1.61,0.00087869
1.79,0.00855808,1.79,0.00654786,1.79,0.01579095,1.79,0.00785443,1.79,0.01075723,1.79,0.0114606,1.79,0.01158088,1.79,0.00377518
2.01,0.01306389,2.01,0.01126383,2.01,0.01750981,2.01,0.01108147,2.01,0.01446474,2.01,0.01187519,2.01,0.01770508,2.01,0.01061385
2.2,0.01369117,2.2,0.00718685,2.2,0.0174685,2.2,0.00830996,2.2,0.00747988,2.2,0.01136263,2.2,0.0144657,2.2,0.00736327
2.39,0.01623502,2.39,0.00827171,2.39,0.01618376,2.39,0.01260337,2.39,0.0131859,2.39,0.01577419,2.39,0.01352663,2.39,0.00712468
2.61,0.01313804,2.61,0.00719416,2.61,0.01493366,2.61,0.01484069,2.61,0.01351483,2.61,0.0109995,2.61,0.01716206,2.61,0.00442053
2.81,0.0135073,2.81,0.01055863,2.81,0.02326554,2.81,0.012161,2.81,0.01278007,2.81,0.01353531,2.81,0.01402934,2.81,0.00946643
2.99,0.01714602,2.99,0.00747151,2.99,0.02055848,2.99,0.01430411,2.99,0.01161568,2.99,0.01167723,2.99,0.01890578,2.99,0.00565183
3.21,0.0147782,3.21,0.01497945,3.21,0.01853688,3.21,0.01335837,3.21,0.01133498,3.21,0.01346354,3.21,0.01669856,3.21,0.00754098
3.4,0.01332976,3.4,0.01185651,3.4,0.01852982,3.4,0.01243776,3.4,0.01324982,3.4,0.01374838,3.4,0.01592009,3.4,0.0095295
3.59,0.01236766,3.59,0.01225388,3.59,0.01944435,3.59,0.01632823,3.59,0.01334237,3.59,0.01355795,3.59,0.01418821,3.59,0.01320704
3.81,0.01412487,3.81,0.01159811,3.81,0.01914241,3.81,0.01536171,3.81,0.01164714,3.81,0.01126505,3.81,0.01285517,3.81,0.00910002
4.01,0.01672219,4.01,0.01404128,4.01,0.02246246,4.01,0.01664352,4.01,0.01670536,4.01,0.0133732,4.01,0.01405404,4.01,0.01219916
4.21,0.01458745,4.21,0.012909,4.21,0.02490885,4.21,0.01689179,4.21,0.00867252,4.21,0.01312692,4.21,0.01395217,4.21,0.00966413
4.41,0.01130867,4.41,0.01165409,4.41,0.02384378,4.41,0.01371654,4.41,0.01316017,4.41,0.0147201,4.41,0.01509993,4.41,0.00947003
4.6,0.01638046,4.6,0.01814589,4.6,0.02350345,4.6,0.01442242,4.6,0.01630272,4.6,0.01221628,4.6,0.01685744,4.6,0.00849601
4.8,0.01279526,4.8,0.01459526,4.8,0.02225913,4.8,0.01230339,4.8,0.01437617,4.8,0.00885019,4.8,0.01271097,4.8,0.00892306
5.01,0.01951665,5.01,0.01156998,5.01,0.02413815,5.01,0.01971225,5.01,0.01779975,5.01,0.01519949,5.01,0.01942988,5.01,0.01449009
5.21,0.01296637,5.21,0.01393145,5.21,0.0233956,5.21,0.01332353,5.21,0.01676988,5.21,0.01365805,5.21,0.01780639,5.21,0.01641515
5.41,0.01527066,5.41,0.01040381,5.41,0.02420811,5.41,0.02251061,5.41,0.01565345,5.41,0.01286754,5.41,0.01599853,5.41,0.01163995
5.6,0.01444001,5.6,0.01292632,5.6,0.0190759,5.6,0.02151434,5.6,0.01509939,5.6,0.01600568,5.6,0.01877491,5.6,0.01227448
5.8,0.01399388,5.8,0.014003,5.8,0.02263197,5.8,0.01985045,5.8,0.01731718,5.8,0.01627983,5.8,0.01560955,5.8,0.01137646
6.01,0.01750448,6.01,0.01345532,6.01,0.02271529,6.01,0.01971058,6.01,0.01418919,6.01,0.01384572,6.01,0.02047386,6.01,0.01126137
6.21,0.01343206,6.21,0.01152523,6.21,0.02598559,6.21,0.01761763,6.21,0.01535211,6.21,0.01541253,6.21,0.01703314,6.21,0.00950965
6.4,0.01899447,6.4,0.01049455,6.4,0.02341868,6.4,0.01555308,6.4,0.01227171,6.4,0.01271101,6.4,0.01977881,6.4,0.01103638
6.61,0.0185334,6.61,0.01281164,6.61,0.02408363,6.61,0.02008742,6.61,0.01637764,6.61,0.01121419,6.61,0.01525674,6.61,0.00965302
6.79,0.0166038,6.79,0.01524204,6.79,0.01772966,6.79,0.02049549,6.79,0.01321537,6.79,0.0163846,6.79,0.02020354,6.79,0.01064503
7,0.01312884,7,0.01453173,7,0.02818049,7,0.0202678,7,0.01289292,7,0.01191897,7,0.01926225,7,0.00939699
7.21,0.01743796,7.21,0.0142503,7.21,0.02666613,7.21,0.01714201,7.21,0.01449466,7.21,0.01324383,7.21,0.01847337,7.21,0.01467652
7.39,0.01574043,7.39,0.01184871,7.39,0.02283221,7.39,0.01624002,7.39,0.01033497,7.39,0.01653913,7.39,0.01513811,7.39,0.00992999
7.61,0.02089969,7.61,0.01415847,7.61,0.02181568,7.61,0.01761791,7.61,0.01941135,7.61,0.01327192,7.61,0.0162786,7.61,0.00844186
7.8,0.01803239,7.8,0.01754707,7.8,0.02574432,7.8,0.02007552,7.8,0.01643443,7.8,0.01549544,7.8,0.01944796,7.8,0.0100894
7.99,0.01338491,7.99,0.01614463,7.99,0.02873431,7.99,0.01849128,7.99,0.01303422,7.99,0.01359134,7.99,0.01536604,7.99,0.0077089
8.2,0.01719454,8.2,0.01179897,8.2,0.02360014,8.2,0.02330312,8.2,0.01423128,8.2,0.01010521,8.2,0.01459435,8.2,0.01001109
8.41,0.01512609,8.41,0.01658227,8.41,0.02855534,8.41,0.01798092,8.41,0.01917559,8.41,0.0172144,8.41,0.02106811,8.41,0.0117482
8.6,0.01823807,8.6,0.01672298,8.6,0.02496771,8.6,0.01736692,8.6,0.02006019,8.6,0.0154828,8.6,0.0181884,8.6,0.01234551
8.81,0.01637183,8.81,0.013462,8.81,0.02086209,8.81,0.02065489,8.81,0.01644445,8.81,0.0119764,8.81,0.01715527,8.81,0.01041919
9,0.01830963,9,0.01476998,9,0.02852113,9,0.02000899,9,0.01676735,9,0.01655832,9,0.01692256,9,0.01307124
9.19,0.01666324,9.19,0.01323605,9.19,0.02994923,9.19,0.01576454,9.19,0.0155068,9.19,0.01529977,9.19,0.01869545,9.19,0.01312347
9.41,0.01662493,9.41,0.01356357,9.41,0.02221797,9.41,0.02185821,9.41,0.01355605,9.41,0.01387259,9.41,0.02031098,9.41,0.01474793
9.61,0.01481178,9.61,0.01375019,9.61,0.02321966,9.61,0.01751042,9.61,0.01810851,9.61,0.02101167,9.61,0.01748514,9.61,0.01370596
9.81,0.01694581,9.81,0.01338082,9.81,0.02550246,9.81,0.01816347,9.81,0.01266085,9.81,0.02150356,9.81,0.01690018,9.81,0.01045253
10,0.01526641,10,0.01377243,10,0.02627493,10,0.0173641,10,0.01866443,10,0.01147824,10,0.02166289,10,0.01086135
10.2,0.01590498,10.2,0.01398913,10.2,0.0261986,10.2,0.02112052,10.2,0.02084581,10.2,0.02084207,10.2,0.0186861,10.2,0.01434124
10.4,0.01892948,10.4,0.01208723,10.4,0.02504059,10.4,0.01739848,10.4,0.01792913,10.4,0.01269179,10.4,0.01769846,10.4,0.01241339
10.61,0.01418914,10.61,0.01169041,10.61,0.02646928,10.61,0.01637343,10.61,0.01563081,10.61,0.01543773,10.61,0.01590231,10.61,0.00788879
10.81,0.01989472,10.81,0.01454675,10.81,0.02550183,10.81,0.02106878,10.81,0.0163756,10.81,0.0156938,10.81,0.020068,10.81,0.01348284
11.01,0.01761168,11.01,0.01472036,11.01,0.02606021,11.01,0.01996782,11.01,0.01851451,11.01,0.01441875,11.01,0.01766699,11.01,0.00943303
11.2,0.01721922,11.2,0.01367789,11.2,0.02249271,11.2,0.02083344,11.2,0.01320167,11.2,0.01614012,11.2,0.02095426,11.2,0.0125858
11.4,0.01779551,11.4,0.01306791,11.4,0.02646443,11.4,0.02344473,11.4,0.01758111,11.4,0.01747899,11.4,0.01824352,11.4,0.00846962
11.61,0.02072338,11.61,0.01594025,11.61,0.02692964,11.61,0.02192401,11.61,0.01537678,11.61,0.01667075,11.61,0.01912012,11.61,0.00642449
11.81,0.01861568,11.81,0.01317632,11.81,0.02399813,11.81,0.02024346,11.81,0.01969645,11.81,0.01268364,11.81,0.01713057,11.81,0.01056975
12.01,0.01917295,12.01,0.01483924,12.01,0.02768812,12.01,0.02113288,12.01,0.01405763,12.01,0.01762225,12.01,0.02203782,12.01,0.011778
12.21,0.01602327,12.21,0.01574148,12.21,0.02910051,12.21,0.01708435,12.21,0.01543649,12.21,0.01594717,12.21,0.02164434,12.21,0.00951315
12.39,0.01864719,12.39,0.01244848,12.39,0.03288207,12.39,0.01847689,12.39,0.01740039,12.39,0.01533596,12.39,0.01627045,12.39,0.01129627
12.6,0.01795719,12.6,0.00946141,12.6,0.02400464,12.6,0.01699609,12.6,0.01421292,12.6,0.01385607,12.6,0.01488717,12.6,0.0132171
12.81,0.01969474,12.81,0.01402304,12.81,0.02802269,12.81,0.02095223,12.81,0.0145854,12.81,0.01722183,12.81,0.01625185,12.81,0.01627385
12.99,0.01468002,12.99,0.015399,12.99,0.02755529,12.99,0.02132984,12.99,0.02280036,12.99,0.01543119,12.99,0.01836175,12.99,0.01206128
13.2,0.01968679,13.2,0.01375753,13.2,0.02744632,13.2,0.01857409,13.2,0.01359037,13.2,0.01340064,13.2,0.0216343,13.2,0.01379521
13.4,0.01771549,13.4,0.01796058,13.4,0.02565852,13.4,0.02522077,13.4,0.01580608,13.4,0.0128191,13.4,0.01780288,13.4,0.00852362
13.59,0.01865159,13.59,0.01336518,13.59,0.0284399,13.59,0.02039741,13.59,0.01455706,13.59,0.0120974,13.59,0.02027503,13.59,0.0159491
13.81,0.01983005,13.81,0.01639918,13.81,0.02654477,13.81,0.02461943,13.81,0.0170352,13.81,0.01293314,13.81,0.01662441,13.81,0.01147574
14.01,0.01890576,14.01,0.0111167,14.01,0.03039911,14.01,0.01849359,14.01,0.01736044,14.01,0.01888327,14.01,0.01628442,14.01,0.01132344
14.21,0.01684566,14.21,0.01850738,14.21,0.02890157,14.21,0.02233953,14.21,0.0119672,14.21,0.01111854,14.21,0.0130298,14.21,0.01570225
14.41,0.01839314,14.41,0.01479283,14.41,0.02709166,14.41,0.02235751,14.41,0.01475128,14.41,0.01409398,14.41,0.02371244,14.41,0.01434928
14.6,0.02033456,14.6,0.01489671,14.6,0.02687588,14.6,0.0224496,14.6,0.01631389,14.6,0.01435636,14.6,0.01760707,14.6,0.01430775
14.79,0.01697981,14.79,0.01222805,14.79,0.02972071,14.79,0.01903375,14.79,0.02051033,14.79,0.01501397,14.79,0.01693914,14.79,0.01182725
15.01,0.01809152,15.01,0.01347691,15.01,0.03173643,15.01,0.02306819,15.01,0.01898546,15.01,0.01610728,15.01,0.01472709,15.01,0.01460311
15.21,0.01900211,15.21,0.0174892,15.21,0.02808751,15.21,0.02047168,15.21,0.01705934,15.21,0.01458284,15.21,0.01815408,15.21,0.01367091
15.4,0.0205837,15.4,0.01654544,15.4,0.02569684,15.4,0.01946772,15.4,0.01282832,15.4,0.01958315,15.4,0.01542753,15.4,0.01547573
15.61,0.01875748,15.61,0.01764625,15.61,0.0295884,15.61,0.02133999,15.61,0.0163141,15.61,0.0193712,15.61,0.02117823,15.61,0.01229014
15.8,0.01761442,15.8,0.01286699,15.8,0.02887534,15.8,0.01980619,15.8,0.02217341,15.8,0.01454957,15.8,0.01880869,15.8,0.01321827
16,0.02012947,16,0.01299015,16,0.02432541,16,0.0226869,16,0.02000134,16,0.0118894,16,0.01519075,16,0.01003976
16.21,0.01833666,16.21,0.01560838,16.21,0.02720688,16.21,0.02374005,16.21,0.0153843,16.21,0.01626799,16.21,0.01792614,16.21,0.01196977
16.41,0.02051038,16.41,0.01249526,16.41,0.02848394,16.41,0.02088372,16.41,0.01564592,16.41,0.01537036,16.41,0.01987174,16.41,0.0139314
16.61,0.02174711,16.61,0.01249172,16.61,0.02413175,16.61,0.02358908,16.61,0.01796509,16.61,0.01426519,16.61,0.02143306,16.61,0.01356173
16.8,0.01660772,16.8,0.01907786,16.8,0.0249624,16.8,0.01977506,16.8,0.01841906,16.8,0.01495305,16.8,0.01650546,16.8,0.01094312
17,0.01326203,17,0.01495319,17,0.02634681,17,0.0228581,17,0.0192742,17,0.01752261,17,0.01498334,17,0.00928406
17.21,0.0162373,17.21,0.02035886,17.21,0.0269932,17.21,0.02073357,17.21,0.01660358,17.21,0.0196189,17.21,0.01549132,17.21,0.0141561
17.39,0.02140384,17.39,0.01609204,17.39,0.03042463,17.39,0.02531683,17.39,0.02064759,17.39,0.01075937,17.39,0.01704841,17.39,0.01253676
17.61,0.0191458,17.61,0.01366891,17.61,0.02687418,17.61,0.02333501,17.61,0.019432,17.61,0.00985207,17.61,0.0149168,17.61,0.01383912
17.8,0.0142839,17.8,0.01376579,17.8,0.02678495,17.8,0.01539423,17.8,0.01793981,17.8,0.01429339,17.8,0.01703534,17.8,0.01000453
18,0.02176157,18,0.01319792,18,0.02898409,18,0.02552883,18,0.01992214,18,0.0143254,18,0.01634374,18,0.01305198
18.2,0.01810273,18.2,0.01397162,18.2,0.02748444,18.2,0.02274354,18.2,0.01873531,18.2,0.01524968,18.2,0.01658274,18.2,0.0093084
18.41,0.01857979,18.41,0.01270558,18.41,0.03295149,18.41,0.02314373,18.41,0.01677872,18.41,0.01392795,18.41,0.01713385,18.41,0.01105215
18.61,0.01566374,18.61,0.01358168,18.61,0.03079367,18.61,0.02067625,18.61,0.02044627,18.61,0.0156133,18.61,0.01574883,18.61,0.01177779
18.81,0.01742331,18.81,0.0151339,18.81,0.0306998,18.81,0.02315049,18.81,0.01883106,18.81,0.01817653,18.81,0.01962865,18.81,0.01223472
19,0.01381509,19,0.01535222,19,0.02980678,19,0.0247845,19,0.01990789,19,0.01682404,19,0.01570901,19,0.01348591
19.19,0.017464,19.19,0.01363036,19.19,0.02939787,19.19,0.01935722,19.19,0.01768373,19.19,0.01245502,19.19,0.01970843,19.19,0.01540562
19.41,0.0209,19.41,0.013996,19.41,0.02929119,19.41,0.02618649,19.41,0.01566444,19.41,0.01645455,19.41,0.01840483,19.41,0.01113667
19.61,0.01911511,19.61,0.01580785,19.61,0.02837719,19.61,0.02201953,19.61,0.01822907,19.61,0.0187651,19.61,0.01688165,19.61,0.01014012
19.81,0.01954464,19.81,0.01485613,19.81,0.02438322,19.81,0.02068124,19.81,0.02025106,19.81,0.01532696,19.81,0.01535564,19.81,0.01518827
20,0.01534266,20,0.01883811,20,0.02740065,20,0.02360716,20,0.01988564,20,0.01570991,20,0.0143665,20,0.01311848
20.2,0.01649957,20.2,0.01280089,20.2,0.02934762,20.2,0.02409498,20.2,0.01432046,20.2,0.01564862,20.2,0.0213781,20.2,0.01375904
20.39,0.01790661,20.39,0.01416656,20.39,0.02583113,20.39,0.02183409,20.39,0.01972763,20.39,0.01804722,20.39,0.01779568,20.39,0.00988946
